,FoldX,RosettaTalarisInterfacedGcross,RosettaTalarisInterfacedGseparated,RosettaTalarisPose,RosettabetaInterfacedGcross,RosettabetaInterfacedGseparated,RosettabetaPose,dTERMenC34,dTERMenC35
MCL1_HUMAN_2PQK_A,0.491278045057,0.475278792127,0.480886106208,0.376234831023,0.462289969154,0.462289969154,0.362700517919,0.565372144227,0.572672651489
MCL1_HUMAN_3D7V_A,0.517654267534,0.50063098831,0.508048668786,0.445617841739,0.540422661289,0.540422661289,0.394673082134,0.499084915608,0.532203445799
MCL1_HUMAN_3IO9_A,0.538313619377,0.478833861132,0.487038985826,0.455187051915,0.382922507863,0.382922507863,0.332674667735,0.539991942819,0.568501410515
MCL1_HUMAN_3KJ0_A,0.488258072528,0.443855826206,0.456496814976,0.374690848238,0.449695516266,0.449695516266,0.394009777095,0.412656132693,0.434644784231
MCL1_HUMAN_3KJ1_A,0.391996197443,0.485729455116,0.494653044715,0.41663061455,0.48787009915,0.48787009915,0.424908511036,0.546356581275,0.538934200035
MCL1_HUMAN_3KJ2_A,0.454507721055,0.485115333906,0.495522223445,0.453066755259,0.491950518058,0.491950518058,0.424969971693,0.574528494231,0.582001121689
MCL1_HUMAN_3KZ0_A,0.553945673661,0.479398455622,0.489548275328,0.463674314277,0.518915850882,0.518915850882,0.464065139281,0.496287700651,0.556272565507
MCL1_HUMAN_3KZ0_B,0.534768495126,0.481348635978,0.491106885665,0.467482131568,0.49247426773,0.49247426773,0.415181781223,0.479072827673,0.517637147763
MCL1_HUMAN_3PK1_A,0.345507825703,0.446333205974,0.453804548214,0.413945341744,0.478491914442,0.478491914442,0.404338288815,0.378185789098,0.451383576375
MCL1_HUMAN_3PK1_C,0.3865271409,0.448401744975,0.456959650395,0.400125845803,0.478402875414,0.478402875414,0.432965680506,0.38543801338,0.440308667301
MCL1_HUMAN_5C6H_A,0.40619877568,0.413815201284,0.422007153066,0.228470512919,0.423476189906,0.423476189906,0.314900202628,0.479820988796,0.403670802956
MCL1_HUMAN_5C6H_C,0.416052869882,0.438356458715,0.454623943133,0.325332822189,0.481910464896,0.481849747537,0.367295411297,0.317344976252,0.428158419383
MCL1_HUMAN_5C6H_E,0.256533642811,0.336009899034,0.343986614348,0.247077076912,0.35749437171,0.357494369213,0.361739857376,0.121752858765,0.169206234231
MCL1_HUMAN_5C6H_G,0.224410407038,0.46427186911,0.473081574452,0.384656269599,0.462088162817,0.462009256261,0.399292402217,0.304870897717,0.406475683101
MCL1_HUMAN_5C6H_I,0.380585041242,0.41723838565,0.434940248889,0.310278589496,0.354264148522,0.354264148522,0.244163894253,0.295220781412,0.32465900016
MCL1_HUMAN_5C6H_K,0.270205399082,0.4591235313,0.472409855479,0.41673674376,0.453643087604,0.453643458237,0.405088647912,0.345083923652,0.399037556271
MCL1_HUMAN_5C6H_M,0.359215764945,0.424830115846,0.431876438565,0.339063698437,0.486096258853,0.486096258853,0.33396334876,0.348233107119,0.392140048343
MCL1_HUMAN_5C6H_O,0.319889626349,0.38873252206,0.399012427209,0.325192394665,0.451690213413,0.451661119407,0.400637890382,0.38643657759,0.398398999808
MCL1_HUMAN_5C6H_Q,0.337120570302,0.434186279121,0.450224854822,0.380373650569,0.461603190398,0.461603190398,0.373953609067,0.358580097369,0.402022778364
MCL1_HUMAN_5C6H_U,0.289032545805,0.440083147973,0.45494136461,0.406969009999,0.434325143761,0.434325143761,0.38379911597,0.260860075432,0.323484210523
MCL1_HUMAN_5C6H_W,0.228059130989,0.408748003511,0.421445159743,0.357945428027,0.460515716735,0.460515716735,0.352198533194,0.325897441433,0.410922481291
MCL1_HUMAN_5UUM_A,0.191279373363,0.461761795012,0.468829627525,0.371401574386,0.459406981631,0.459406981631,0.429379292402,0.329802963613,0.417755512267
MCL1_HUMAN_5UUM_B,0.173766758406,0.470690219976,0.477628870997,0.390807853698,0.446223225858,0.446223225858,0.37391368927,0.238413706821,0.312866733818
MCL1_HUMAN_MIN,0.560823959893,0.515121946754,0.521836986339,0.406408343037,0.539663132717,0.539640423159,0.461362173185,0.489234144242,0.509251309632
